 mean standard_deviation
1 93.8441 0.0819852
2 86.2098 0.0593902
3 86.9364 0.0655913
4 89.7387 0.079366
5 90.4694 0.0784327
6 87.2716 0.0846558
7 93.3539 0.0779834
8 91.6575 0.0790599
9 92.1536 0.0800035
10 87.9003 0.0730041
11 89.3983 0.0872984
12 87.7113 0.0629522
13 90.1261 0.0660317
14 92.3303 0.0777335
15 90.9147 0.0734006
16 85.3762 0.0640134
17 91.0306 0.0885595
18 95.5378 0.106251
19 90.2117 0.0625346
20 97.1286 0.0924263
21 92.9631 0.0708489
22 98.3191 0.088637
23 101.218 0.0146347
24 99.7686 0.0226026
25 99.3255 0.0812884
26 101.072 0.0805171
27 92.8825 0.0732841
28 99.3314 0.0814122
29 102.992 0.0212279
30 101.551 0.0151738
31 104.663 0.0211721
32 104.34 0.0253993
33 103.344 0.0634507
34 92.9898 0.0436412
35 93.7884 0.0842955
36 88.603 0.0842354
37 102.485 0.0275777
38 97.0641 0.0866208
39 94.8234 0.084988
40 92.6464 0.0513166
41 86.5311 0.100632
42 60.685 0.307466
43 93.2567 0.0986129
44 87.5984 0.0647721
45 91.7622 0.0800606
46 99.8566 0.0800801
47 97.465 0.0777684
48 89.3955 0.0896496
