 mean standard_deviation
1 112.76 0.158296
2 115.818 0.137769
3 104.793 0.0803064
4 114.306 0.141727
5 107.027 0.156973
6 98.3312 0.0611726
7 111.644 0.12104
8 114.74 0.175349
9 117.6 0.17229
10 114.805 0.169845
11 80.3761 0.391829
12 89.6139 0.295751
13 112.576 0.135907
14 128.517 0.0751838
15 128.132 0.103228
16 122.403 0.131477
17 113.491 0.135699
18 114.835 0.13133
19 127.141 0.102142
20 121.797 0.119626
21 113.815 0.126028
22 115.451 0.154086
23 114.986 0.182316
24 118.952 0.158679
25 124.138 0.144351
26 119.499 0.138917
27 113.141 0.272465
28 114.608 0.144507
29 122.118 0.160975
30 127.312 0.112124
31 129.442 0.108422
32 112.412 0.113559
33 119.653 0.123202
34 126.424 0.146295
35 119.16 0.165729
36 121.262 0.144494
37 111.383 0.118575
38 112.828 0.113649
39 112.794 0.166224
40 117.91 0.164166
41 120.208 0.161737
42 116.229 0.131549
43 114.954 0.142967
44 111.15 0.145011
45 112.034 0.127266
46 114.542 0.149789
47 127.691 0.0931828
48 119.255 0.176926
