 mean standard_deviation
1 180.066 0.169727
2 179.315 0.177781
3 177.31 0.159335
4 180.723 0.16011
5 175.316 0.146851
6 174.838 0.153681
7 180.898 0.141866
8 185.192 0.154857
9 183.085 0.146122
10 179.934 0.157557
11 187.557 0.166728
12 186.361 0.174915
13 181.923 0.145066
14 181.867 0.164365
15 182.265 0.166677
16 177.894 0.153597
17 177.147 0.156807
18 186.781 0.180453
19 186.798 0.17672
20 183.07 0.15152
21 187.263 0.158593
22 184.376 0.121375
23 181.858 0.153382
24 188.863 0.14371
25 185.179 0.153788
26 191.544 0.190278
27 186.541 0.160407
28 185.269 0.141832
29 186.558 0.179705
30 190.504 0.177525
31 188.946 0.158229
32 182.21 0.123963
33 194.426 0.165102
34 188.461 0.180077
35 191.414 0.173934
36 182.124 0.14257
37 188.292 0.163506
38 182.36 0.166964
39 186.706 0.165317
40 196.41 0.18451
41 182.152 0.172514
42 180.087 0.148805
43 187.556 0.187449
44 186.109 0.132386
45 154.954 0.550742
46 189.166 0.176283
47 179.873 0.145408
48 186.748 0.154487
