 mean standard_deviation
1 173.504 0.109052
2 182.202 0.12029
3 175.044 0.112003
4 173.863 0.120401
5 171.805 0.101225
6 175.08 0.126926
7 176.454 0.0980057
8 181.602 0.128403
9 181.567 0.123829
10 177.072 0.121776
11 173.2 0.0932724
12 172.226 0.0982045
13 182.649 0.129375
14 177.975 0.111477
15 184.097 0.133208
16 179.551 0.120284
17 175.738 0.0944163
18 171.939 0.0968318
19 182.577 0.112796
20 178.692 0.111052
21 182.91 0.123351
22 183.932 0.107925
23 178.685 0.0911906
24 177.082 0.13276
25 190.816 0.129325
26 183.05 0.109116
27 180.948 0.118067
28 182.286 0.116538
29 180.08 0.0967824
30 180.029 0.112817
31 183.581 0.106775
32 182.677 0.10064
33 185.153 0.1086
34 182.945 0.103868
35 181.202 0.0929006
36 180.763 0.110713
37 181.304 0.113328
38 179.796 0.0954067
39 178.607 0.0934068
40 178.897 0.0980249
41 178.531 0.0759013
42 177.756 0.111544
43 175.693 0.0920521
44 180.824 0.112227
45 179.712 0.118136
46 181.462 0.123512
47 180.374 0.103515
48 175.568 0.0846399
