 mean standard_deviation
1 100.228 0.0627299
2 95.8234 0.0773617
3 92.7006 0.0690662
4 95.2803 0.0900422
5 92.9742 0.0667177
6 92.3984 0.0897886
7 92.6522 0.0794088
8 95.7589 0.069197
9 101.865 0.0753903
10 93.4997 0.0681235
11 93.192 0.07142
12 93.7294 0.0712777
13 97.9514 0.0854464
14 98.1669 0.0807623
15 98.4794 0.0838782
16 97.0872 0.0865051
17 96.1114 0.11901
18 91.9788 0.148571
19 98.9284 0.0813751
20 99.2836 0.0587135
21 99.2808 0.0796509
22 97.0408 0.0766581
23 99.6227 0.156989
24 90.9803 0.147413
25 101.043 0.0865728
26 101.039 0.0708653
27 104.077 0.105228
28 99.158 0.0817972
29 101.294 0.078865
30 99.6444 0.078519
31 100.975 0.0854823
32 100.169 0.071476
33 108.169 0.0898486
34 103.546 0.0808823
35 101.333 0.080373
36 98.2303 0.0830399
37 97.3525 0.0775153
38 100.708 0.0786481
39 101.656 0.0834714
40 101.957 0.0844784
41 99.3312 0.0786202
42 102.807 0.0801228
43 100.783 0.0879045
44 95.6591 0.0620438
45 100.717 0.0971802
46 97.0811 0.0826172
47 107.318 0.0557466
48 98.1522 0.0913659
