 mean standard_deviation
1 171.434 0.105695
2 174.15 0.107915
3 167.745 0.0774045
4 172.925 0.103411
5 172.245 0.10342
6 168.72 0.0899767
7 173.234 0.113068
8 173.166 0.114961
9 172.714 0.104545
10 172.945 0.097853
11 169.928 0.104712
12 169.839 0.0924714
13 176.38 0.0964795
14 175.947 0.123633
15 174.869 0.109978
16 172.711 0.0980776
17 170.898 0.0999773
18 168.692 0.0784315
19 173.768 0.104131
20 178.006 0.127648
21 177.975 0.118374
22 180.617 0.116938
23 175.532 0.113856
24 171.929 0.107829
25 178.003 0.0943271
26 178.715 0.103917
27 180.682 0.130704
28 181.68 0.121526
29 174.928 0.0980093
30 177.671 0.116061
31 176.127 0.106511
32 176.547 0.113264
33 182.887 0.118961
34 183.488 0.109939
35 181.706 0.125392
36 171.212 0.0889897
37 173.821 0.102372
38 172.358 0.0999786
39 179.003 0.115434
40 178.463 0.11863
41 175.437 0.111588
42 174.337 0.124402
43 177.582 0.133771
44 174.1 0.112046
45 176.203 0.11097
46 175.173 0.114773
47 173.091 0.115901
48 174.139 0.11837
