 mean standard_deviation
1 126.889 0.0295163
2 118.595 0.107733
3 121.74 0.101397
4 125.09 0.0931926
5 116.819 0.0887584
6 122.744 0.0769645
7 121.243 0.0993495
8 118.649 0.0842626
9 120.833 0.100812
10 123.111 0.0905283
11 117.312 0.102627
12 119.905 0.0846624
13 115.093 0.0582322
14 120.877 0.0905315
15 120.393 0.0986111
16 123.209 0.103228
17 118.052 0.106426
18 115.92 0.0827995
19 123.808 0.0952655
20 116.784 0.0744934
21 130.152 0.0987283
22 135.32 0.0219701
23 133.824 0.0162542
24 130.954 0.0514979
25 134.814 0.0179365
26 130.741 0.0920597
27 131.293 0.10191
28 137.78 0.0154407
29 135.74 0.0187813
30 134.564 0.0142033
31 130.932 0.078188
32 125.814 0.103789
33 131.35 0.0850258
34 131.498 0.0905458
35 136.417 0.0157349
36 133.589 0.0484754
37 116.855 0.0965147
38 118.062 0.0763982
39 121.684 0.0827006
40 124.987 0.0979941
41 122.512 0.0944053
42 125.25 0.100005
43 120.64 0.0970202
44 125.289 0.133079
45 122.111 0.152109
46 123.205 0.095989
47 122.36 0.100781
48 123.74 0.0878275
