 mean standard_deviation
1 91.8881 0.0652708
2 93.7819 0.131695
3 98.5848 0.0684189
4 95.2237 0.0583968
5 91.2525 0.0513872
6 89.6034 0.0551328
7 94.6219 0.0514905
8 98.7116 0.0564134
9 95.8216 0.0694733
10 97.912 0.0605793
11 93.3422 0.0677484
12 93.6802 0.0618744
13 95.5639 0.051863
14 97.8983 0.0767944
15 98.2864 0.0731347
16 96.7016 0.0709499
17 94.7597 0.0643706
18 93.9941 0.0781876
19 102.488 0.0517959
20 101.816 0.0783323
21 101.545 0.0790234
22 101.358 0.0864268
23 95.3172 0.0720825
24 96.7008 0.0787583
25 100.634 0.0709082
26 100.837 0.0759421
27 100.901 0.0905634
28 101.365 0.0860822
29 96.0588 0.0862669
30 91.7586 0.0645005
31 105.292 0.0611055
32 103.711 0.0728566
33 101.399 0.0868464
34 93.4836 0.315209
35 88.9991 0.152657
36 91.9731 0.0895697
37 102.103 0.0657564
38 103.166 0.0511193
39 96.7511 0.0892864
40 80.7356 0.309548
41 93.2006 0.168938
42 90.2903 0.0841414
43 99.2805 0.0610982
44 98.1902 0.0752398
45 97.5219 0.0814846
46 92.6445 0.0660189
47 92.9269 0.0679207
48 92.8448 0.0632607
