 mean standard_deviation
1 167.13 0.124424
2 174.075 0.13976
3 177.173 0.132029
4 168.875 0.0931138
5 171.982 0.13638
6 167.002 0.112993
7 173.07 0.147634
8 179.218 0.138911
9 170.236 0.111136
10 180.388 0.134703
11 175.301 0.127652
12 170.215 0.107157
13 179.52 0.143197
14 173.168 0.120882
15 174.751 0.120523
16 173.464 0.129417
17 172.04 0.100487
18 171.232 0.115149
19 177.806 0.117183
20 183.326 0.129786
21 180.171 0.137232
22 179.039 0.124332
23 174.566 0.124449
24 177.527 0.140903
25 183.817 0.144294
26 179.879 0.123092
27 178.379 0.139672
28 180.435 0.12698
29 181.808 0.120563
30 174.242 0.106369
31 176.309 0.133328
32 178.393 0.128173
33 182.621 0.152347
34 180.819 0.11442
35 178.538 0.110619
36 175.356 0.128784
37 175.897 0.141246
38 175.153 0.126109
39 184.662 0.142964
40 179.158 0.138421
41 175.394 0.122365
42 175.919 0.116567
43 179.2 0.122927
44 180.821 0.1242
45 178.476 0.12346
46 175.25 0.100613
47 183.199 0.124254
48 173.479 0.097494
