 mean standard_deviation
1 174.034 0.180787
2 192.259 0.0865647
3 192.434 0.0736911
4 172.853 0.157247
5 193.358 0.0260681
6 176.392 0.146279
7 180.065 0.177401
8 190.99 0.114574
9 193.705 0.0822384
10 174.897 0.171797
11 180.438 0.167451
12 180.438 0.182498
13 171.853 0.166555
14 177.887 0.183618
15 184.166 0.177444
16 177.74 0.170396
17 177.059 0.162679
18 181.181 0.150048
19 189.081 0.165867
20 197.977 0.0735717
21 188.003 0.20025
22 169.567 0.1831
23 190.723 0.144249
24 176.48 0.14157
25 199.973 0.0761285
26 201.406 0.0709543
27 194.843 0.151506
28 174.398 0.168093
29 192.477 0.122053
30 178.881 0.130053
31 198.418 0.097181
32 181.142 0.195221
33 186.526 0.184602
34 178.17 0.165456
35 182.379 0.205371
36 182.39 0.140702
37 184.458 0.197236
38 177.35 0.162741
39 173.135 0.141258
40 178.138 0.165648
41 179.452 0.156977
42 181.867 0.160788
43 177.426 0.176624
44 184.917 0.165772
45 169.303 0.122926
46 169.795 0.0830582
47 185.886 0.143485
48 188.181 0.120724
