 mean standard_deviation
1 91.5061 0.147061
2 90.7788 0.105558
3 95.0727 0.142888
4 97.5194 0.15246
5 98.2275 0.161854
6 96.4053 0.152319
7 91.6848 0.151565
8 102.014 0.144428
9 101.045 0.151155
10 89.4064 0.0823714
11 92.387 0.122662
12 95.7283 0.109708
13 105.492 0.17561
14 97.5156 0.148411
15 95.1869 0.148771
16 94.2923 0.139985
17 99.4059 0.161275
18 91.3273 0.123249
19 103.507 0.17516
20 101.317 0.162178
21 99.0466 0.159915
22 100.355 0.156851
23 100.847 0.133438
24 100.159 0.139855
25 99.7794 0.156776
26 103.449 0.150363
27 101.604 0.167772
28 105.344 0.160126
29 100.528 0.159282
30 101.808 0.160927
31 102.72 0.136878
32 104.97 0.156209
33 101.139 0.154611
34 102.849 0.143806
35 94.3958 0.135761
36 95.655 0.168785
37 102.974 0.150878
38 99.1509 0.137699
39 103.409 0.180349
40 93.2939 0.146151
41 93.1031 0.140834
42 94.628 0.0959121
43 99.0995 0.133363
44 99.0653 0.126726
45 104.538 0.147145
46 104.505 0.119597
47 98.09 0.135242
48 100.701 0.143369
