 mean standard_deviation
1 166.713 0.15582
2 166.529 0.13867
3 178.076 0.126448
4 172.186 0.140851
5 168.782 0.117936
6 174.287 0.13213
7 169.189 0.147652
8 167.369 0.12445
9 175.787 0.15717
10 169.845 0.162742
11 170.554 0.121234
12 171.746 0.125651
13 174.51 0.152169
14 178.424 0.147434
15 172.301 0.119382
16 172.456 0.155872
17 178.362 0.1569
18 172.609 0.165147
19 177.088 0.172578
20 177.45 0.147407
21 180.157 0.144473
22 178.078 0.128237
23 175.676 0.133863
24 175.605 0.125205
25 174.949 0.144168
26 177.25 0.118398
27 177.048 0.140767
28 178.039 0.146653
29 175.433 0.140824
30 179.068 0.124661
31 185.409 0.148485
32 181.78 0.129963
33 183.775 0.141752
34 181.231 0.135332
35 177.843 0.13173
36 176.252 0.141562
37 177.561 0.143405
38 175.783 0.126412
39 182.275 0.132404
40 186.586 0.14308
41 182.94 0.142374
42 188.161 0.117308
43 183.338 0.121954
44 180.423 0.151407
45 177.588 0.128116
46 172.48 0.167936
47 174.097 0.135474
48 173.867 0.119744
