 mean standard_deviation
1 179.763 0.0797092
2 184.977 0.0821518
3 181.633 0.073544
4 186.969 0.0729495
5 186.903 0.0713011
6 188.845 0.0530418
7 184.285 0.0850073
8 184.009 0.0707204
9 186.376 0.0722846
10 184.524 0.0671128
11 186.971 0.0690655
12 186.431 0.084101
13 181.552 0.0818055
14 187.059 0.0793172
15 185.709 0.076456
16 190.895 0.0729708
17 189.859 0.0675421
18 185.251 0.0836817
19 182.536 0.0963488
20 186.261 0.0688475
21 192.545 0.106863
22 192.599 0.0767158
23 184.259 0.10038
24 186.768 0.0817975
25 185.311 0.0770244
26 191.773 0.0764885
27 185.249 0.234093
28 191.403 0.110693
29 191.084 0.0920374
30 186.378 0.0788926
31 185.231 0.0729181
32 186.177 0.0976283
33 194.62 0.0875646
34 190.041 0.137678
35 188.331 0.091568
36 189.378 0.092108
37 182.717 0.0828236
38 184.097 0.091115
39 192.019 0.0700654
40 190.707 0.0815853
41 186.217 0.0744469
42 186.615 0.0760385
43 181.436 0.0819979
44 186.178 0.0613568
45 184.659 0.0775906
46 188.017 0.0786982
47 185.084 0.0810901
48 185.557 0.102895
