 mean standard_deviation
1 170.472 0.148048
2 170.75 0.140476
3 174.044 0.119421
4 168.343 0.133501
5 171.023 0.113094
6 171.48 0.103878
7 171.424 0.168423
8 170.269 0.146093
9 170.003 0.14212
10 174.1 0.149809
11 172.022 0.148017
12 175.567 0.123194
13 175.312 0.143776
14 170.945 0.155361
15 176.191 0.184364
16 173.769 0.165703
17 174.945 0.154249
18 171.546 0.128684
19 176.237 0.151452
20 173.834 0.14652
21 183.458 0.153039
22 179.025 0.143661
23 179.346 0.133573
24 175.107 0.124846
25 180.164 0.152734
26 183.255 0.164366
27 176.273 0.125912
28 180.842 0.138896
29 177.705 0.12978
30 172.528 0.132425
31 178.84 0.166777
32 179.758 0.158013
33 183.586 0.142654
34 178.289 0.125213
35 180.534 0.142885
36 175.747 0.132045
37 179.344 0.119905
38 180.108 0.137822
39 179.738 0.160165
40 177.796 0.14693
41 175.323 0.152302
42 177.234 0.141728
43 174.671 0.119117
44 174.139 0.135406
45 177.357 0.14362
46 172.868 0.0879378
47 176.256 0.133379
48 175.061 0.110522
