 mean standard_deviation
1 96.2831 0.0661152
2 88.8416 0.0625618
3 91.2934 0.0782496
4 97.0677 0.0781336
5 93.3183 0.0805887
6 96.7631 0.0644215
7 96.4478 0.0719897
8 94.8625 0.0848461
9 94.3231 0.0769092
10 96.5892 0.0903608
11 94.1066 0.0803235
12 96.3189 0.0754473
13 92.6125 0.077195
14 94.9953 0.093331
15 96.4323 0.0981741
16 98.4308 0.0618592
17 99.443 0.050187
18 97.3455 0.0594986
19 96.7964 0.0842396
20 96.8069 0.0984853
21 98.0773 0.0995581
22 100.826 0.0605969
23 101.903 0.0539481
24 99.2048 0.0512941
25 93.7338 0.0671557
26 97.4745 0.0802655
27 94.7564 0.108107
28 103.318 0.0737155
29 102.354 0.058733
30 102.194 0.0473526
31 95.6706 0.0750286
32 101.837 0.0990008
33 105.594 0.0767372
34 100.919 0.0848277
35 103.308 0.0560864
36 100.407 0.0851705
37 94.2011 0.0630704
38 93.367 0.110149
39 97.8844 0.0951549
40 95.7722 0.067212
41 101.358 0.0804249
42 97.1683 0.0826628
43 97.7578 0.0658141
44 93.8222 0.0673727
45 96.7823 0.0852519
46 100.38 0.0783099
47 96.5633 0.0751562
48 95.8827 0.0951947
