 mean standard_deviation
1 182.653 0.19061
2 174.576 0.121141
3 179.607 0.125068
4 184.511 0.149597
5 181.843 0.142204
6 189.029 0.126853
7 184.054 0.18088
8 185.24 0.16635
9 179.295 0.163444
10 186.087 0.16604
11 178.361 0.116748
12 184.599 0.172842
13 180.33 0.129759
14 197.112 0.117498
15 179.18 0.148259
16 193.466 0.151966
17 184.738 0.159403
18 182.786 0.158148
19 185.647 0.159953
20 188.05 0.166528
21 192.079 0.217315
22 187.734 0.137152
23 183.687 0.138412
24 186.574 0.139096
25 191.629 0.16823
26 187.804 0.160595
27 191.102 0.239743
28 204.685 0.0913049
29 193.52 0.161512
30 187.925 0.157917
31 190.644 0.150012
32 188.119 0.179759
33 189.193 0.144157
34 200.414 0.13988
35 189.374 0.163164
36 196.697 0.143958
37 178.719 0.165617
38 180.226 0.14597
39 193.195 0.159378
40 188.93 0.150201
41 185.783 0.176438
42 180.756 0.14681
43 192.276 0.159427
44 181.893 0.161898
45 188.209 0.175225
46 193.688 0.139401
47 185.646 0.138289
48 188.741 0.131733
